,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
11717387_x_at,10.13067664,-0.464408594,0.068002723,-6.82926467,8.54E-12,6.65E-10
11717404_x_at,9.528924153,-0.236248193,0.068990469,-3.424359881,0.00061625,0.00782373
11717411_s_at,6.851511269,0.234161931,0.080618546,2.904566526,0.00367762,0.033498052
11717416_a_at,5.093508027,-0.315051211,0.094544552,-3.332304227,0.0008613,0.010306388
11717417_s_at,8.177385112,-0.291620205,0.074268904,-3.926545144,8.62E-05,0.001498247
11717430_s_at,6.616652266,-0.319693823,0.082226617,-3.887960315,0.00010109,0.001717004
11717444_at,5.431505609,0.446239107,0.091679656,4.867373269,1.13E-06,3.39E-05
11717464_at,7.036495904,-0.24948798,0.079631359,-3.133036838,0.001730077,0.018094802
11717465_s_at,8.012921243,-0.208077179,0.074821617,-2.780976762,0.005419562,0.045313056
11717467_a_at,6.645168937,-0.228136156,0.081691563,-2.792652587,0.005227781,0.044159382
11717475_a_at,4.38515055,-0.609859963,0.103521433,-5.891146851,3.84E-09,1.93E-07
11717478_at,6.67589159,0.271739851,0.081640312,3.328500886,0.000873147,0.010427685
11717480_a_at,6.403383286,0.370273155,0.083645253,4.426708525,9.57E-06,0.000224766
11717481_s_at,7.770621926,0.338963618,0.076292215,4.442964675,8.87E-06,0.000210165
11717508_at,4.584643828,-0.478832092,0.100546011,-4.762318147,1.91E-06,5.43E-05
11717511_a_at,7.287240186,0.279399636,0.078391866,3.56414063,0.00036505,0.005044169
11717516_s_at,4.59581111,-0.372252922,0.099854769,-3.72794334,0.000193049,0.002939672
11717521_x_at,7.687570686,0.268523785,0.07645719,3.512080204,0.000444614,0.005967752
11717528_a_at,6.871738608,-0.294633108,0.080588325,-3.65602722,0.000256154,0.003744325
11717529_at,6.445285804,-0.358436065,0.083258912,-4.305077464,1.67E-05,0.000362267
11717530_a_at,7.410822915,0.218235755,0.07761333,2.811833439,0.004926,0.0422117
11717531_x_at,7.374878916,0.225384567,0.077806549,2.896730039,0.003770741,0.034127763
11717543_x_at,6.989779622,-0.257548772,0.079871803,-3.224526821,0.00126181,0.014054763
11717560_at,5.967552659,-0.594501344,0.087894041,-6.763841304,1.34E-11,9.99E-10
11717564_a_at,4.45667932,-0.585861393,0.102472562,-5.717251365,1.08E-08,4.97E-07
11717565_s_at,9.431825324,-0.329171825,0.069585583,-4.730460152,2.24E-06,6.27E-05
11717566_at,6.353686467,-0.623330481,0.085222972,-7.314113391,2.59E-13,2.52E-11
11717575_at,5.46523474,-0.348697828,0.091366337,-3.816480318,0.000135369,0.002185215
11717580_a_at,6.173602503,-0.289121464,0.085066234,-3.398780567,0.00067687,0.008472773
11717581_s_at,7.44275705,-0.23393049,0.077635766,-3.013179396,0.00258526,0.024999246
11717598_s_at,6.512354846,-0.361680361,0.082853805,-4.365283673,1.27E-05,0.000289783
11717599_s_at,7.771135531,-0.216420878,0.075899475,-2.851414705,0.004352516,0.038391909
11717611_a_at,5.653591876,-0.307704117,0.089119433,-3.45271629,0.000554972,0.007180323
11717612_x_at,5.879579565,-0.265325613,0.087110253,-3.045859755,0.00232016,0.02288685
11717614_at,6.902299672,-0.228344453,0.080265953,-2.844848203,0.004443259,0.038990878
11717624_at,5.842727753,0.362534177,0.087728152,4.132472513,3.59E-05,0.000702667
11717657_a_at,5.745060765,0.345212286,0.088502131,3.900609885,9.60E-05,0.001641468
11717661_a_at,3.875641123,-0.363888659,0.10824808,-3.361617691,0.000774873,0.009457797
11717672_s_at,7.751742805,-0.220832165,0.076087893,-2.902329873,0.003703983,0.033695034
11717703_a_at,4.692316122,0.292636986,0.098361466,2.975118196,0.002928757,0.027785758
11717706_a_at,4.846640212,-0.331105712,0.096953682,-3.415091673,0.000637605,0.00806129
11717707_s_at,4.353347711,-0.279074706,0.101862172,-2.739728612,0.006148993,0.049944336
11717709_a_at,5.745811245,-0.25587026,0.088188285,-2.901408737,0.00371489,0.033751094
11717713_a_at,3.726879255,-0.317965759,0.110032091,-2.889754753,0.003855425,0.034732186
11717729_a_at,7.641393805,0.311342079,0.076780683,4.054953209,5.01E-05,0.000945785
11717730_s_at,7.09663756,0.365321083,0.079696317,4.583914274,4.56E-06,0.00011746
11717731_at,5.297778945,0.37201649,0.092783443,4.009513754,6.08E-05,0.001116029
11717763_a_at,8.665715167,-0.273486383,0.072258041,-3.784857399,0.000153797,0.002435814
11717764_x_at,8.9328929,-0.258631293,0.071186356,-3.633158201,0.000279973,0.004037195
11717765_a_at,8.059081333,-0.260605144,0.074707081,-3.488359327,0.000485994,0.006418225
11717774_a_at,5.935822622,0.412730134,0.087341368,4.725482817,2.30E-06,6.40E-05
11717775_s_at,6.009842155,-0.30702335,0.086274647,-3.558674082,0.000372732,0.005138665
11717790_a_at,6.301359483,-0.453084321,0.084599468,-5.355640334,8.53E-08,3.28E-06
11717791_a_at,7.576027305,-0.332589515,0.07709485,-4.314030226,1.60E-05,0.000350887
11717795_a_at,5.93103196,-0.328718819,0.086903956,-3.782552975,0.000155228,0.002451202
11717799_at,6.285746928,-0.255383659,0.083984889,-3.040828693,0.00235928,0.023193528
11717803_a_at,6.070510743,-0.259510896,0.085650735,-3.029873542,0.002446562,0.023901713
11717812_a_at,4.055079371,0.324556621,0.105691454,3.070793414,0.002134908,0.021415812
11717813_a_at,4.908598868,-0.462374573,0.097684606,-4.73334124,2.21E-06,6.19E-05
11717814_x_at,5.803008893,-0.364541235,0.088404687,-4.123550994,3.73E-05,0.000727123
11717820_a_at,7.967895152,-1.068421512,0.080189894,-13.32364294,1.69E-40,3.13E-37
11717821_a_at,2.426276226,-0.470972137,0.135034985,-3.487778641,0.000487051,0.00643019
11717822_a_at,5.747113699,-1.076494374,0.093955014,-11.45755114,2.16E-30,1.33E-27
11717825_a_at,5.938375517,-0.804263815,0.089701247,-8.966027167,3.07E-19,6.16E-17
11717826_x_at,5.079986635,-0.971757813,0.099492342,-9.767161902,1.56E-22,4.23E-20
11717829_s_at,7.864611228,-0.263254166,0.075651634,-3.479821275,0.000501748,0.006597697
11717833_a_at,6.38775229,0.321720162,0.083494593,3.853185571,0.000116591,0.001937116
11717842_a_at,6.0388178,-0.365167135,0.086332158,-4.229792736,2.34E-05,0.000485832
11717843_at,7.071820047,-0.309594417,0.079753402,-3.881896075,0.000103645,0.001752476
11717844_x_at,7.266976915,-0.301274573,0.078725189,-3.8269146,0.00012976,0.00211139
11717853_at,5.099690729,-0.573935121,0.096030702,-5.976579463,2.28E-09,1.18E-07
11717854_a_at,5.808843918,-0.330551071,0.088126206,-3.750882806,0.000176213,0.002725109
11717856_a_at,7.395284959,0.261105794,0.077819696,3.355266191,0.000792886,0.009644564
11717863_a_at,7.062261758,-0.22956337,0.079498533,-2.887642841,0.003881403,0.034929356
11717886_a_at,6.932690686,0.430854624,0.080777289,5.333858406,9.61E-08,3.65E-06
11717893_a_at,6.661128956,-0.279213122,0.081714621,-3.416929799,0.000633316,0.008011805
11717895_x_at,8.218298915,-0.235579596,0.073971976,-3.184714129,0.001448971,0.015693077
11717900_at,5.045934317,0.358051365,0.095195431,3.761224262,0.000169084,0.002639723
11717909_at,5.547877831,-0.657815488,0.092179761,-7.136224688,9.59E-13,8.41E-11
11717913_at,3.111153623,-0.547636873,0.121292821,-4.514998227,6.33E-06,0.000156944
11717916_s_at,8.659783678,-0.233963934,0.072255934,-3.237989211,0.001203754,0.013513892
11717917_a_at,6.476456558,-0.236392842,0.083383021,-2.835023728,0.004582228,0.039882391
11717958_s_at,5.118132693,0.288387676,0.094168019,3.062480018,0.002195111,0.021932101
11717977_a_at,2.44690419,-0.367947943,0.133823207,-2.749507742,0.005968485,0.048887518
11717978_at,2.905500021,-0.683705807,0.126137139,-5.420337028,5.95E-08,2.36E-06
11717979_at,6.936080473,-0.891394492,0.083789346,-10.6385183,1.97E-26,7.94E-24
11717980_x_at,5.754156331,-1.019746646,0.093466972,-10.9102352,1.03E-27,4.78E-25
11717986_a_at,7.236139314,0.244232943,0.078831906,3.098148385,0.001947339,0.019936526
11717993_at,5.988785525,-0.2880574,0.086344066,-3.336157444,0.00084945,0.010196033
11717997_at,5.889251206,0.331534764,0.087241513,3.800195028,0.000144582,0.002308718
11718001_a_at,6.779752281,-0.360696343,0.081296006,-4.436827348,9.13E-06,0.00021535
11718002_at,4.471926968,-0.375820197,0.100903058,-3.724566963,0.000195651,0.002976109
11718005_a_at,7.399697315,0.425608785,0.078323318,5.433998376,5.51E-08,2.20E-06
11718026_a_at,6.942539764,0.261130906,0.080207369,3.255697179,0.001131143,0.012837717
11718027_a_at,6.068444568,0.328982039,0.085803437,3.834135928,0.000126006,0.002064811
11718028_x_at,4.819808481,0.387652198,0.097413561,3.979447957,6.91E-05,0.001242456
11718035_at,5.488683996,0.378127747,0.090903229,4.159673422,3.19E-05,0.000636258
11718036_at,7.57517444,0.264685366,0.076936988,3.440287586,0.000581096,0.007457287
11718066_a_at,2.945392115,0.377551457,0.122971959,3.070223987,0.002138983,0.021451646
11718076_at,5.051529311,0.265586611,0.094726874,2.803709243,0.005051844,0.04302041
11718098_at,6.985119813,-0.423524904,0.080534329,-5.25893629,1.45E-07,5.31E-06
11718106_s_at,8.479714711,0.236063707,0.072889777,3.238639466,0.001201013,0.013492841
11718107_a_at,7.800973685,0.233925696,0.075787941,3.086582024,0.002024721,0.020532468
11718118_s_at,6.236467214,-0.373036342,0.084905184,-4.393563764,1.12E-05,0.000257826
11718119_s_at,6.740288418,-0.282703583,0.081476645,-3.469749922,0.000520943,0.006803983
11718131_a_at,7.178649646,0.244091357,0.080797686,3.021019152,0.002519254,0.024499733
11718133_a_at,6.557264522,0.228847299,0.082179494,2.784725079,0.005357312,0.044995311
11718134_a_at,5.792226422,0.29315696,0.087957378,3.332943356,0.000859324,0.010285626
11718157_s_at,3.598877656,-0.510374143,0.113017227,-4.515896869,6.30E-06,0.000156461
11718163_a_at,6.882159231,-0.739829868,0.082939104,-8.920157509,4.66E-19,9.24E-17
11718169_a_at,6.268443436,0.656973382,0.086043978,7.635320857,2.25E-14,2.53E-12
11718180_s_at,3.56913146,-0.336436551,0.113170442,-2.972830582,0.002950673,0.02794399
11718183_at,6.104264198,0.418414153,0.085946592,4.868304169,1.13E-06,3.37E-05
